Period,Code,Sex,Age group,Life Expectancy (LE)_,LE Lower CI_,LE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,30-34,49.00086,48.91744,49.08427,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,35-39,44.22765,44.14642,44.30888,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,40-44,39.5333,39.45445,39.61215,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,45-49,34.89558,34.81888,34.97228,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,50-54,30.32636,30.25182,30.4009,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,55-59,25.89285,25.82097,25.96472,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,60-64,21.68122,21.61263,21.74982,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,65-69,17.6979,17.63182,17.76397,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,70-74,14.03356,13.97081,14.09631,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,75-79,10.78631,10.72629,10.84633,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,80-84,7.96715,7.90759,8.02671,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,85-89,5.75178,5.68542,5.81814,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,M,90plus,4.22898,4.1284,4.32956,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,lessthan1,81.8898,81.79781,81.98178,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,01-04,81.30002,81.21513,81.38491,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,05-09,77.35608,77.2722,77.43997,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,10-14,72.38379,72.30043,72.46715,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,15-19,67.42672,67.34407,67.50937,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,20-24,62.4904,62.40861,62.57218,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,25-29,57.56037,57.47937,57.64138,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,30-34,52.65313,52.57317,52.7331,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,35-39,47.78283,47.70434,47.86132,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,40-44,42.95964,42.88274,43.03654,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,45-49,38.21458,38.13946,38.28969,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,50-54,33.51376,33.44047,33.58706,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,55-59,28.94467,28.87391,29.01543,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,60-64,24.55938,24.49201,24.62675,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,65-69,20.31966,20.25513,20.38419,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,70-74,16.31532,16.25468,16.37596,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,75-79,12.62867,12.57189,12.68544,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,80-84,9.37645,9.3225,9.43041,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,85-89,6.75104,6.69583,6.80625,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000003,F,90plus,4.77426,4.70297,4.84554,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,lessthan1,78.62758,78.52501,78.73015,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,01-04,78.03407,77.93845,78.12969,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,05-09,74.08637,73.99167,74.18107,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,10-14,69.11672,69.02256,69.21087,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,15-19,64.15242,64.05882,64.24603,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,20-24,59.25826,59.16598,59.35054,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,25-29,54.40901,54.31848,54.49955,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,30-34,49.57037,49.48172,49.65902,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,35-39,44.78381,44.69756,44.87006,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,40-44,40.03298,39.9489,40.11705,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,45-49,35.36828,35.28637,35.45019,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,50-54,30.77074,30.69101,30.85046,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,55-59,26.33016,26.25337,26.40694,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,60-64,22.05788,21.98439,22.13136,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,65-69,18.04792,17.97702,18.11882,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,70-74,14.35144,14.28372,14.41916,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,E12000004,M,75-79,11.00999,10.94522,11.07477,LE
