Period,Code,Sex,age group,Life Expectancy (LE)_,LE Lower CI_,LE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,40-44,43.39174,43.36922,43.41427,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,45-49,38.62001,38.59793,38.64209,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,50-54,33.92675,33.90519,33.9483,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,55-59,29.35995,29.33913,29.38078,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,60-64,24.93547,24.91556,24.95538,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,65-69,20.67663,20.65753,20.69573,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,70-74,16.63221,16.61418,16.65025,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,75-79,12.90614,12.88925,12.92303,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,80-84,9.60204,9.586,9.61808,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,85-89,6.8886,6.87224,6.90497,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,K02000001,F,90plus,4.86012,4.83911,4.88114,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,lessthan1,77.43915,77.26488,77.61343,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,01-04,76.85972,76.69404,77.0254,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,05-09,72.92902,72.76479,73.09326,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,10-14,67.96391,67.80043,68.12738,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,15-19,63.00277,62.84,63.16553,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,20-24,58.21133,58.05191,58.37075,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,25-29,53.50491,53.34991,53.65992,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,30-34,48.77962,48.62855,48.93069,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,35-39,44.04922,43.90192,44.19653,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,40-44,39.33184,39.18779,39.47588,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,45-49,34.70426,34.56356,34.84497,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,50-54,30.17479,30.03754,30.31204,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,55-59,25.79068,25.65767,25.9237,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,60-64,21.64709,21.51949,21.7747,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,65-69,17.68704,17.56428,17.8098,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,70-74,13.98317,13.86468,14.10167,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,75-79,10.73353,10.61867,10.84838,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,80-84,7.99337,7.87757,8.10918,LE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,85-89,5.7808,5.65053,5.91108,LE
