Period,Code,Sex,age group,Healthy Life Expectancy (HLE) _,HLE Lower CI_,HLE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,15-19,47.24273,46.4272,48.05826,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,20-24,42.76883,41.97666,43.561,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,25-29,38.41984,37.64065,39.19903,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,30-34,34.10698,33.34296,34.87101,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,35-39,29.85822,29.11231,30.60412,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,40-44,25.76208,25.03821,26.48595,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,45-49,21.87843,21.17284,22.58402,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,50-54,18.21445,17.52911,18.89979,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,55-59,14.8713,14.20742,15.53519,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,60-64,11.8882,11.24575,12.53064,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,65-69,9.28119,8.65739,9.905,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,70-74,6.94775,6.33394,7.56156,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,75-79,4.98887,4.37335,5.60438,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,80-84,3.44487,2.83292,4.05682,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,85-89,2.32647,1.81359,2.83935,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,M,90plus,1.59975,1.09933,2.10016,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,lessthan1,62.55816,61.75378,63.36253,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,01-04,61.8929,61.08495,62.70085,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,05-09,58.08883,57.28466,58.89301,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,10-14,53.3164,52.51891,54.1139,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,15-19,48.55948,47.76943,49.34953,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,20-24,43.9165,43.13549,44.69751,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,25-29,39.37617,38.6074,40.14494,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,30-34,34.90289,34.14769,35.65809,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,35-39,30.53738,29.79614,31.27862,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,40-44,26.36805,25.6434,27.0927,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,45-49,22.44163,21.73617,23.14709,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,50-54,18.74875,18.06269,19.4348,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,55-59,15.36223,14.70193,16.02252,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,60-64,12.28393,11.65368,12.91419,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,65-69,9.47521,8.87158,10.07884,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,70-74,6.97157,6.39452,7.54862,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,75-79,4.88835,4.33481,5.44189,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,N92000002,F,80-84,3.23081,2.74161,3.72,HLE
